## rabi flopping data (readout method 1)
Pulse duration (us),1S0,3P1,3P0+3P2
0.0,1.00,0.00,0.00
0.2,1.00,0.00,0.00
0.4,0.98,0.00,0.01
0.6,0.95,0.00,0.05
0.8,0.89,0.00,0.11
1.0,0.83,0.00,0.17
1.2,0.75,0.00,0.25
1.4,0.68,0.00,0.31
1.6,0.57,0.00,0.43
1.8,0.48,0.00,0.51
2.0,0.35,0.01,0.64
2.2,0.28,0.00,0.72
2.4,0.18,0.01,0.81
2.6,0.14,0.01,0.84
2.8,0.11,0.01,0.88
3.0,0.13,0.01,0.86
3.2,0.22,0.01,0.77
3.4,0.21,0.01,0.78
3.6,0.30,0.01,0.69
3.8,0.31,0.01,0.68
4.0,0.47,0.01,0.52
4.2,0.44,0.03,0.53
4.4,0.55,0.01,0.44
4.6,0.60,0.03,0.37
4.8,0.77,0.02,0.21
5.0,0.61,0.02,0.37
5.2,0.87,0.01,0.12
5.4,0.86,0.01,0.13
5.6,0.88,0.01,0.11
5.8,0.86,0.01,0.13
6.0,0.87,0.01,0.12
6.2,0.87,0.01,0.12
6.4,0.80,0.02,0.18
6.6,0.79,0.02,0.19
6.8,0.69,0.02,0.29
7.0,0.70,0.02,0.28
7.2,0.57,0.03,0.40
7.4,0.46,0.04,0.50
7.6,0.38,0.04,0.58
7.8,0.44,0.02,0.54
8.0,0.31,0.02,0.67
8.2,0.24,0.02,0.74
8.4,0.19,0.04,0.77
8.6,0.23,0.05,0.72
8.8,0.16,0.03,0.81
9.0,0.25,0.04,0.71
9.2,0.26,0.04,0.70
9.4,0.33,0.04,0.63
9.6,0.33,0.03,0.64
9.8,0.55,0.03,0.42
10.0,0.56,0.03,0.41
