## rabi flopping data (readout method )
Pulse duration (us),1S0+3P1, 3/4 3P2, 3P0+ 1/4 3P2
0.0,1.00,0.00,0.00
0.2,1.00,0.00,0.00
0.4,0.98,0.00,0.01
0.6,0.95,0.00,0.04
0.8,0.88,0.00,0.11
1.0,0.82,0.00,0.18
1.2,0.73,0.00,0.26
1.4,0.67,0.00,0.33
1.6,0.54,0.00,0.45
1.8,0.49,0.00,0.50
2.0,0.39,0.00,0.61
2.2,0.29,0.00,0.71
2.4,0.21,0.01,0.78
2.6,0.20,0.01,0.79
2.8,0.16,0.01,0.83
3.0,0.15,0.01,0.84
3.2,0.24,0.02,0.74
3.4,0.28,0.02,0.70
3.6,0.27,0.02,0.71
3.8,0.45,0.01,0.54
4.0,0.51,0.03,0.46
4.2,0.55,0.02,0.43
4.4,0.63,0.03,0.34
4.6,0.60,0.01,0.39
4.8,0.73,0.04,0.23
5.0,0.79,0.02,0.19
5.2,0.83,0.02,0.15
5.4,0.88,0.02,0.10
5.6,0.93,0.03,0.04
5.8,0.87,0.04,0.09
6.0,0.82,0.04,0.14
6.2,0.86,0.03,0.11
6.4,0.76,0.04,0.20
6.6,0.72,0.05,0.23
6.8,0.72,0.02,0.26
7.0,0.60,0.04,0.36
7.2,0.68,0.03,0.29
7.4,0.57,0.05,0.38
7.6,0.43,0.08,0.49
7.8,0.40,0.07,0.53
8.0,0.35,0.05,0.60
8.2,0.37,0.05,0.58
8.4,0.29,0.06,0.65
8.6,0.23,0.05,0.72
8.8,0.28,0.08,0.64
9.0,0.34,0.03,0.63
9.2,0.24,0.09,0.67
9.4,0.29,0.08,0.63
9.6,0.28,0.06,0.66
9.8,0.31,0.08,0.61
10.0,0.39,0.13,0.48
