[Sample Definition]	
Type	Time
Use Buffer	FALSE
delta	0.0000000025
start	-0.0000010250
nsample	1620.0000000000
nframes	1.000000
nAnalog	4.000000
nDigitalSets	0.000000
ChScale A 	1.000000
ChOffset A 	0.000000
ChScale B 	1.000000
ChOffset B 	0.000000
ChScale C 	1.000000
ChOffset C 	0.000000
ChScale D 	1.000000
ChOffset D 	0.000000
TriggerTime	46106.249316556	3/24/2026 9:59:00 AM
[Data]
Time	Chan A	Chan B	Chan C	Chan D
-0.0000010250 	 0.0063267052 	 -0.0066877594 	 0.0072559211 	 0.1280029416
-0.0000010225 	 0.0067455191 	 -0.0085760672 	 0.0124019664 	 0.1352027804
-0.0000010200 	 0.0064314087 	 -0.0088907853 	 0.0093143396 	 0.1187459826
-0.0000010175 	 0.0064314087 	 -0.0093104094 	 0.0041682944 	 0.1310885847
-0.0000010150 	 0.0069549256 	 -0.0091005974 	 0.0072559211 	 0.1403455287
-0.0000010125 	 0.0070596291 	 -0.0089956913 	 0.0021098778 	 0.1372598708
-0.0000010100 	 0.0069549256 	 -0.0078417258 	 0.0134311765 	 0.1238887236
-0.0000010075 	 0.0067455191 	 -0.0072122896 	 0.0093143396 	 0.1352027804
-0.0000010050 	 0.0061172983 	 -0.0060583232 	 0.0051975045 	 0.1259458363
-0.0000010025 	 0.0072690360 	 -0.0047994507 	 0.0062267128 	 0.1331456751
-0.0000010000 	 0.0068502226 	 -0.0032258600 	 0.0113727581 	 0.1269743890
-0.0000009975 	 0.0067455191 	 -0.0013375517 	 0.0082851313 	 0.1249172762
-0.0000009950 	 0.0068502226 	 0.0002360386 	 0.0103435479 	 0.1187459826
-0.0000009925 	 0.0066408156 	 0.0031734072 	 0.0062267128 	 0.1228601858
-0.0000009900 	 0.0069549256 	 0.0041175615 	 0.0051975045 	 0.1321171373
-0.0000009875 	 0.0067455191 	 0.0063205883 	 0.0072559211 	 0.1259458363
-0.0000009850 	 0.0066408156 	 0.0083138021 	 0.0062267128 	 0.1259458363
-0.0000009825 	 0.0062220017 	 0.0088383323 	 0.0082851313 	 0.1259458363
-0.0000009800 	 0.0068502226 	 0.0107266409 	 0.0082851313 	 0.1290314794
-0.0000009775 	 0.0069549256 	 0.0117757013 	 0.0031390861 	 0.1393169761
-0.0000009750 	 0.0063267052 	 0.0123002306 	 0.0062267128 	 0.1300600320
-0.0000009725 	 0.0070596291 	 0.0125100426 	 0.0072559211 	 0.1300600320
-0.0000009700 	 0.0072690360 	 0.0127198547 	 0.0051975045 	 0.1228601858
-0.0000009675 	 0.0073737400 	 0.0127198547 	 0.0082851313 	 0.1238887236
-0.0000009650 	 0.0070596291 	 0.0114609832 	 0.0082851313 	 0.1269743890
-0.0000009625 	 0.0068502226 	 0.0117757013 	 0.0051975045 	 0.1208030805
-0.0000009600 	 0.0070596291 	 0.0109364530 	 0.0082851313 	 0.1177174374
-0.0000009575 	 0.0072690360 	 0.0090481443 	 0.0041682944 	 0.1208030805
-0.0000009550 	 0.0073737400 	 0.0083138021 	 0.0051975045 	 0.1259458363
-0.0000009525 	 0.0071643326 	 0.0075794598 	 0.0062267128 	 0.1290314794
-0.0000009500 	 0.0068502226 	 0.0046420917 	 0.0051975045 	 0.1290314794
-0.0000009475 	 0.0072690360 	 0.0034881253 	 0.0072559211 	 0.1290314794
-0.0000009450 	 0.0073737400 	 0.0027537830 	 0.0082851313 	 0.1321171373
-0.0000009425 	 0.0069549256 	 0.0023341591 	 0.0041682944 	 0.1352027804
-0.0000009400 	 0.0069549256 	 0.0006556627 	 0.0051975045 	 0.1413740665
-0.0000009375 	 0.0065361122 	 0.0007605687 	 0.0134311765 	 0.1310885847
-0.0000009350 	 0.0066408156 	 0.0010752868 	 0.0103435479 	 0.1290314794
-0.0000009325 	 0.0061172983 	 0.0009703807 	 0.0031390861 	 0.1238887236
-0.0000009300 	 0.0060125948 	 0.0008654747 	 0.0103435479 	 0.1259458363
-0.0000009275 	 0.0061172983 	 0.0024390651 	 0.0134311765 	 0.1249172762
-0.0000009250 	 0.0065361122 	 0.0035930313 	 0.0062267128 	 0.1166888848
-0.0000009225 	 0.0061172983 	 0.0051666219 	 0.0041682944 	 0.1208030805
-0.0000009200 	 0.0065361122 	 0.0059009641 	 0.0051975045 	 0.1228601858
-0.0000009175 	 0.0071643326 	 0.0075794598 	 0.0103435479 	 0.1218316332
-0.0000009150 	 0.0069549256 	 0.0089432383 	 0.0082851313 	 0.1310885847
-0.0000009125 	 0.0067455191 	 0.0106217349 	 0.0072559211 	 0.1280029416
-0.0000009100 	 0.0068502226 	 0.0123002306 	 0.0072559211 	 0.1352027804
-0.0000009075 	 0.0071643326 	 0.0127198547 	 0.0051975045 	 0.1310885847
-0.0000009050 	 0.0069549256 	 0.0141885392 	 0.0124019664 	 0.1362313330
-0.0000009025 	 0.0067455191 	 0.0152375996 	 0.0031390861 	 0.1372598708
-0.0000009000 	 0.0073737400 	 0.0158670358 	 0.0093143396 	 0.1362313330
-0.0000008975 	 0.0076878499 	 0.0148179755 	 0.0051975045 	 0.1280029416
-0.0000008950 	 0.0067455191 	 0.0151326936 	 0.0041682944 	 0.1238887236
-0.0000008925 	 0.0070596291 	 0.0135591030 	 0.0093143396 	 0.1238887236
-0.0000008900 	 0.0067455191 	 0.0127198547 	 0.0082851313 	 0.1331456751
-0.0000008875 	 0.0062220017 	 0.0115658892 	 0.0010806676 	 0.1208030805
-0.0000008850 	 0.0063267052 	 0.0098873926 	 0.0103435479 	 0.1269743890
