# Time [us],  1S0,  3P1(mJ=-1),  3P1(mJ+1),  3S1(mJ=0),  3P2(all),  3P0
0.000000e+00,9.969204e-01,7.901389e-07,3.078782e-03,1.528626e-09,4.875474e-08,1.290047e-08
2.040816e-01,9.975729e-01,6.503451e-05,3.635413e-04,2.282693e-09,2.089808e-04,1.789565e-03
4.081633e-01,9.687688e-01,2.621012e-04,5.042715e-03,1.032360e-08,8.504241e-04,2.507595e-02
6.122449e-01,9.108709e-01,5.049864e-04,1.293846e-02,5.678497e-08,1.669982e-03,7.401564e-02
8.163265e-01,8.385692e-01,8.385949e-04,1.170836e-02,1.410094e-07,2.795174e-03,1.460885e-01
1.020408e+00,7.498276e-01,1.304528e-03,4.429494e-03,2.002817e-07,4.388891e-03,2.400493e-01
1.224490e+00,6.536115e-01,1.812840e-03,4.280510e-03,2.216095e-07,6.148781e-03,3.341461e-01
1.428571e+00,5.469572e-01,2.465221e-03,9.476070e-03,2.856449e-07,8.420574e-03,4.326807e-01
1.632653e+00,4.315265e-01,3.393834e-03,1.158549e-02,4.210109e-07,1.167633e-02,5.418174e-01
1.836735e+00,3.450496e-01,4.278487e-03,8.676883e-03,5.002211e-07,1.482954e-02,6.271650e-01
2.040816e+00,2.687834e-01,5.226613e-03,7.942298e-03,5.025727e-07,1.826201e-02,6.997852e-01
2.244898e+00,1.991659e-01,6.428093e-03,1.022646e-02,5.155342e-07,2.264637e-02,7.615327e-01
2.448980e+00,1.467418e-01,7.857799e-03,1.217153e-02,5.924278e-07,2.792188e-02,8.053064e-01
2.653061e+00,1.329853e-01,8.916549e-03,1.244293e-02,6.372481e-07,3.198924e-02,8.136654e-01
2.857143e+00,1.614737e-01,9.981484e-03,1.331344e-02,5.797024e-07,3.619062e-02,7.790402e-01
3.061224e+00,2.022073e-01,1.108257e-02,1.432075e-02,5.094704e-07,4.062643e-02,7.317624e-01
3.265306e+00,2.638840e-01,1.193326e-02,1.440368e-02,4.849034e-07,4.429479e-02,6.654838e-01
